epochs,steps,Lambda_L2s,train_bareloss,train_loss,train_acc,test_bareloss,test_loss,test_acc,id,num_epochs,batch_size,batch_norm,learning_rate
0,5,1.00E-05,2.221829414,2.235760212,15.625,0.017581381,0.017691434,15.11,cnn_test_L2_1e-5_200epochs,200,128,FALSE,0.01
0,10,1.00E-05,2.164757252,2.178688288,22.65625,0.017050562,0.017160619,21.2,cnn_test_L2_1e-5_201epochs,200,128,FALSE,0.01
0,15,1.00E-05,2.132605076,2.146536589,28.90625,0.016668249,0.016778307,26.05,cnn_test_L2_1e-5_202epochs,200,128,FALSE,0.01
0,20,1.00E-05,2.080066204,2.093998194,27.34375,0.016301255,0.016411318,27.56,cnn_test_L2_1e-5_203epochs,200,128,FALSE,0.01
0,25,1.00E-05,2.038645267,2.052577734,26.5625,0.015960318,0.016070386,28.85,cnn_test_L2_1e-5_204epochs,200,128,FALSE,0.01
0,30,1.00E-05,2.006237507,2.020170689,32.8125,0.015704152,0.015814224,29.71,cnn_test_L2_1e-5_205epochs,200,128,FALSE,0.01
0,35,1.00E-05,2.012229919,2.026163578,26.5625,0.015698813,0.01580889,27.53,cnn_test_L2_1e-5_206epochs,200,128,FALSE,0.01
0,40,1.00E-05,1.97194159,1.985875726,28.125,0.015619243,0.015729324,27.04,cnn_test_L2_1e-5_207epochs,200,128,FALSE,0.01
0,45,1.00E-05,1.953876019,1.96781075,30.46875,0.015237374,0.015347459,32.19,cnn_test_L2_1e-5_208epochs,200,128,FALSE,0.01
0,50,1.00E-05,1.825588346,1.839523554,39.84375,0.015092097,0.015202187,32.66,cnn_test_L2_1e-5_209epochs,200,128,FALSE,0.01
0,55,1.00E-05,1.846226931,1.860162735,35.9375,0.014988034,0.015098129,31.75,cnn_test_L2_1e-5_210epochs,200,128,FALSE,0.01
0,60,1.00E-05,1.853842497,1.867779016,34.375,0.014951187,0.015061287,31.95,cnn_test_L2_1e-5_211epochs,200,128,FALSE,0.01
0,65,1.00E-05,1.835901499,1.849838495,36.71875,0.014875606,0.01498571,32.73,cnn_test_L2_1e-5_212epochs,200,128,FALSE,0.01
0,70,1.00E-05,1.730065465,1.744002819,36.71875,0.014685905,0.014796012,34.22,cnn_test_L2_1e-5_213epochs,200,128,FALSE,0.01
0,75,1.00E-05,1.944157243,1.958095074,32.03125,0.014796014,0.014906124,33.23,cnn_test_L2_1e-5_214epochs,200,128,FALSE,0.01
0,80,1.00E-05,1.773225427,1.787163615,39.0625,0.014575933,0.014686046,35.43,cnn_test_L2_1e-5_215epochs,200,128,FALSE,0.01
0,85,1.00E-05,1.778651476,1.792590141,32.8125,0.014645673,0.01475579,33.09,cnn_test_L2_1e-5_216epochs,200,128,FALSE,0.01
0,90,1.00E-05,1.885691524,1.899630904,34.375,0.01412103,0.014231151,37.87,cnn_test_L2_1e-5_217epochs,200,128,FALSE,0.01
0,95,1.00E-05,1.926989079,1.940928936,31.25,0.014229787,0.014339912,36.3,cnn_test_L2_1e-5_218epochs,200,128,FALSE,0.01
0,100,1.00E-05,1.773356438,1.787296772,33.59375,0.014585159,0.014695288,32.11,cnn_test_L2_1e-5_219epochs,200,128,FALSE,0.01
0,105,1.00E-05,1.825365186,1.839306235,39.0625,0.014133384,0.014243518,37.44,cnn_test_L2_1e-5_220epochs,200,128,FALSE,0.01
0,110,1.00E-05,1.770956993,1.784898281,35.15625,0.0145588,0.014668938,33.27,cnn_test_L2_1e-5_221epochs,200,128,FALSE,0.01
0,115,1.00E-05,1.784095287,1.798037171,39.84375,0.013851634,0.013961775,37.83,cnn_test_L2_1e-5_222epochs,200,128,FALSE,0.01
0,120,1.00E-05,1.841155052,1.855097294,35.9375,0.014127793,0.014237937,36.24,cnn_test_L2_1e-5_223epochs,200,128,FALSE,0.01
0,125,1.00E-05,1.665220618,1.679163218,36.71875,0.013705506,0.013815655,39.56,cnn_test_L2_1e-5_224epochs,200,128,FALSE,0.01
0,130,1.00E-05,1.755518079,1.769461155,36.71875,0.013663963,0.013774114,39.2,cnn_test_L2_1e-5_225epochs,200,128,FALSE,0.01
0,135,1.00E-05,1.735207081,1.749150753,40.625,0.013865803,0.013975959,37.15,cnn_test_L2_1e-5_226epochs,200,128,FALSE,0.01
0,140,1.00E-05,1.658377171,1.672321439,50.78125,0.014247041,0.014357201,34.2,cnn_test_L2_1e-5_227epochs,200,128,FALSE,0.01
0,145,1.00E-05,1.739045143,1.752989888,34.375,0.013539381,0.013649545,39.5,cnn_test_L2_1e-5_228epochs,200,128,FALSE,0.01
0,150,1.00E-05,1.635717988,1.64966321,39.84375,0.013756795,0.013866963,38.45,cnn_test_L2_1e-5_229epochs,200,128,FALSE,0.01
0,155,1.00E-05,1.786964536,1.800910234,35.15625,0.013693523,0.013803695,39.51,cnn_test_L2_1e-5_230epochs,200,128,FALSE,0.01
0,160,1.00E-05,1.780550838,1.794496894,32.03125,0.013541305,0.01365148,38.61,cnn_test_L2_1e-5_231epochs,200,128,FALSE,0.01
0,165,1.00E-05,1.668764353,1.682710767,42.96875,0.01386405,0.013974228,35.83,cnn_test_L2_1e-5_232epochs,200,128,FALSE,0.01
0,170,1.00E-05,1.637929916,1.651876926,43.75,0.013550469,0.013660652,37.97,cnn_test_L2_1e-5_233epochs,200,128,FALSE,0.01
0,175,1.00E-05,1.841191649,1.855139017,37.5,0.013293795,0.013403979,39.49,cnn_test_L2_1e-5_234epochs,200,128,FALSE,0.01
