epochs,steps,Lambda_L2s,train_bareloss,train_loss,train_acc,test_bareloss,test_loss,test_acc,id,num_epochs,batch_size,batch_norm,learning_rate
0,5,0.1,2.2603542804718018,136.63714599609375,14.84375,0.017634007573127747,1.0749705825805664,16.16,cnn_test_autoL2_200epochs,200,128,False,0.01
0,10,0.1,2.181978225708008,133.89801025390625,22.65625,0.01723486442565918,1.053638656616211,20.12,cnn_test_autoL2_200epochs,200,128,False,0.01
0,15,0.1,2.1921226978302,131.3014678955078,19.53125,0.016836796259880066,1.0327287475585938,23.98,cnn_test_autoL2_200epochs,200,128,False,0.01
0,20,0.1,2.105332374572754,128.65911865234375,29.6875,0.016583272016048433,1.0123722106933595,25.24,cnn_test_autoL2_200epochs,200,128,False,0.01
0,25,0.1,2.097224235534668,126.14830780029297,25.78125,0.01629553369283676,0.9923911827087403,29.59,cnn_test_autoL2_200epochs,200,128,False,0.01
0,30,0.1,2.049752712249756,123.64768981933594,23.4375,0.016532830262184144,0.9733288963317871,20.81,cnn_test_autoL2_200epochs,200,128,False,0.01
0,35,0.010000000000000002,2.0226778984069824,14.115009307861328,27.34375,0.01601211769580841,0.11150429134368897,27.15,cnn_test_autoL2_200epochs,200,128,False,0.01
0,40,0.010000000000000002,2.03238844871521,14.101059913635254,28.90625,0.0158278137922287,0.11113300790786743,29.0,cnn_test_autoL2_200epochs,200,128,False,0.01
0,45,0.010000000000000002,2.0773000717163086,14.122529029846191,26.5625,0.0156726029753685,0.11079233951568604,30.94,cnn_test_autoL2_200epochs,200,128,False,0.01
0,50,0.0010000000000000002,1.9028584957122803,3.1067614555358887,28.125,0.015485650968551637,0.024996242332458497,29.34,cnn_test_autoL2_200epochs,200,128,False,0.01
0,55,0.0010000000000000002,1.9183509349822998,3.122082233428955,32.8125,0.015364720141887665,0.024873930096626282,30.63,cnn_test_autoL2_200epochs,200,128,False,0.01
0,60,0.0010000000000000002,1.897326946258545,3.1008787155151367,31.25,0.01521737937927246,0.024725184965133668,31.62,cnn_test_autoL2_200epochs,200,128,False,0.01
0,65,0.0010000000000000002,1.8907910585403442,3.0941543579101562,35.15625,0.015127471578121185,0.02463377802371979,31.48,cnn_test_autoL2_200epochs,200,128,False,0.01
0,70,0.0010000000000000002,1.9440256357192993,3.147205352783203,31.25,0.014880516493320464,0.02438534529209137,34.63,cnn_test_autoL2_200epochs,200,128,False,0.01
