epochs,steps,Lambda_L2s,train_bareloss,train_loss,train_acc,test_bareloss,test_loss,test_acc,id,num_epochs,batch_size,batch_norm,learning_rate
0,5,0.0001,2.287419796,2.425768852,15.625,0.017704533,0.018797486,16.71,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,10,0.0001,2.225911617,2.364260197,17.96875,0.017183353,0.018276307,19.28,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,15,0.0001,2.1183002,2.256649256,25.78125,0.016786205,0.017879166,21.12,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,20,0.0001,2.101393461,2.239744186,24.21875,0.016798272,0.017891249,17.23,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,25,0.0001,2.006921291,2.145274401,27.34375,0.016219529,0.017312526,22.94,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,30,0.0001,1.951558232,2.089914083,35.15625,0.01606305,0.01715607,26.35,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,35,0.0001,2.033918381,2.172277689,30.46875,0.01556157,0.01665461,30.91,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,40,0.0001,1.986231685,2.124592304,30.46875,0.015543407,0.016636459,27.84,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,45,0.0001,1.944719076,2.08308363,32.03125,0.015368775,0.016461861,31.11,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,50,0.0001,1.93326509,2.071633339,32.03125,0.015078178,0.016171291,33.73,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,55,0.0001,1.981363535,2.119735479,25,0.015728145,0.016821284,28.3,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,60,0.0001,1.938592434,2.076966763,28.125,0.014768664,0.015861825,34.32,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,65,0.0001,1.915030241,2.053406477,32.8125,0.014834156,0.015927329,33.51,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,70,0.0001,1.83474648,1.973124743,35.9375,0.014657016,0.015750211,35.95,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,75,0.0001,1.805475593,1.943855286,30.46875,0.014738737,0.015831946,31.76,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,80,0.0001,1.825979352,1.964362025,41.40625,0.014452504,0.015545733,36.68,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,85,0.0001,1.87903285,2.017417908,28.90625,0.014555334,0.015648578,33.63,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,90,0.0001,1.91996479,2.058351517,28.90625,0.01448498,0.015578236,34.35,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,95,0.0001,1.819234371,1.957621932,28.125,0.014306085,0.015399352,36.34,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,100,0.0001,1.876541138,2.014931679,29.6875,0.014228086,0.015321372,36.49,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,105,0.0001,1.744756937,1.883149624,39.0625,0.014437457,0.015530768,33.78,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,110,0.0001,1.863635778,2.002030373,35.15625,0.013952894,0.015046214,38.54,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,115,0.0001,1.745882273,1.884280443,33.59375,0.013931179,0.015024528,37.84,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,120,0.0001,1.849029422,1.987429857,38.28125,0.013925772,0.015019135,38.31,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,125,0.0001,1.773979783,1.912382722,36.71875,0.013944812,0.015038202,36.84,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,130,0.0001,1.821956635,1.96036303,32.8125,0.013708079,0.01480149,38.61,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,135,0.0001,1.725193739,1.863601327,39.84375,0.014046218,0.015139646,36.87,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,140,0.0001,1.770269156,1.908677697,39.84375,0.013629367,0.014722799,39.95,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,145,0.0001,1.716114402,1.854526758,36.71875,0.0136436,0.014737062,39.17,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,150,0.0001,1.852561712,1.99097681,26.5625,0.013567742,0.014661221,39.16,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,155,0.0001,1.651222229,1.789638996,39.84375,0.01375505,0.014848555,37.89,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,160,0.0001,1.539544582,1.677964926,47.65625,0.013524438,0.014617972,38.94,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,165,0.0001,1.803108931,1.941533089,28.125,0.013525365,0.014618915,38.35,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,170,0.0001,1.734291792,1.872716069,39.84375,0.013452392,0.014545944,37.97,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,175,0.0001,1.758302093,1.896730661,41.40625,0.013164616,0.014258205,41.46,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,180,0.0001,1.737891793,1.87632215,32.03125,0.013209156,0.014302757,41.93,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,185,0.0001,1.577919364,1.716351509,45.3125,0.013161349,0.014254973,41.4,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,190,0.0001,1.626043797,1.764479399,46.875,0.01310404,0.014197687,41.3,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,195,0.0001,1.736761689,1.875199199,37.5,0.01320192,0.014295576,41.04,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,200,0.0001,1.662995815,1.801434159,42.96875,0.012965444,0.014059114,42.78,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,205,0.0001,1.424558878,1.563000917,51.5625,0.012888375,0.013982084,42.63,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,210,0.0001,1.703499913,1.841947794,36.71875,0.013229326,0.014323066,40.32,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,215,0.0001,1.528424859,1.666874647,51.5625,0.012985706,0.014079471,40.83,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,220,0.0001,1.634313583,1.772765636,39.84375,0.012984104,0.014077881,41.49,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,225,0.0001,1.716717958,1.855173111,36.71875,0.013029098,0.014122896,41.4,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,230,0.0001,1.549554825,1.688012362,43.75,0.01266294,0.013756765,44.3,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,235,0.0001,1.631036043,1.769495487,44.53125,0.012921148,0.014014985,41.56,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,240,0.0001,1.601251721,1.739714384,40.625,0.012867051,0.013960913,42.74,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,245,0.0001,1.539603233,1.678067684,46.875,0.012658223,0.013752099,43.84,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,250,0.0001,1.588391185,1.726855993,43.75,0.013511362,0.014605245,38.69,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,255,0.0001,1.566277146,1.704745054,49.21875,0.012449407,0.013543311,44.75,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,260,0.0001,1.627412558,1.765883088,46.09375,0.012466343,0.013560268,44.78,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,265,0.0001,1.626849413,1.765324712,43.75,0.012632418,0.013726378,42.38,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,270,0.0001,1.579847693,1.718324423,39.84375,0.012711307,0.013805281,42.49,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,275,0.0001,1.596695065,1.735174298,39.0625,0.012474243,0.013568234,44.05,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,280,0.0001,1.566206694,1.704688072,38.28125,0.012425791,0.0135198,44.41,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,285,0.0001,1.600849032,1.73933506,46.09375,0.012253908,0.013347952,45.53,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,290,0.0001,1.560894728,1.699385762,50,0.012411446,0.01350553,43.65,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,295,0.0001,1.607103229,1.745596528,47.65625,0.012659068,0.013753168,42.81,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,300,0.0001,1.577613711,1.716109872,44.53125,0.012409783,0.013503906,43.25,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,305,0.0001,1.649448991,1.787948012,46.875,0.012378807,0.013472949,44.25,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,310,0.0001,1.591081262,1.729582429,40.625,0.012605824,0.013699986,43.33,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,315,0.0001,1.543011546,1.681513071,46.875,0.012708828,0.013802997,41.04,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,320,0.0001,1.577115297,1.715618849,41.40625,0.011986624,0.013080807,47.03,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,325,0.0001,1.800546885,1.939055562,36.71875,0.013064512,0.014158724,42.06,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,330,0.0001,1.609972715,1.748483896,39.0625,0.012367095,0.013461334,44.63,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,335,0.0001,1.521641254,1.660155296,38.28125,0.012055387,0.013149652,45.73,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,340,0.0001,1.612556577,1.751074433,42.96875,0.012070722,0.013165014,45.68,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,345,0.0001,1.597664356,1.736185431,45.3125,0.01195402,0.01304834,47.15,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,350,0.0001,1.633000135,1.771523952,42.96875,0.012579743,0.013674083,42.31,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,355,0.0001,1.430253386,1.568779588,53.125,0.011873798,0.012968165,46.97,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,360,0.0001,1.423989654,1.562519073,53.90625,0.011779159,0.012873555,47.56,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,365,0.0001,1.547823787,1.686356664,45.3125,0.011979537,0.013073946,46.84,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,370,0.0001,1.472917438,1.611452341,44.53125,0.011927226,0.013021663,47.04,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,375,0.0001,1.543417573,1.681957126,46.09375,0.011939572,0.013034037,45.59,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,380,0.0001,1.5040133,1.64255476,46.09375,0.011890628,0.012985107,48.11,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,385,0.0001,1.676101327,1.81464684,39.0625,0.011763712,0.012858216,46.83,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
0,390,0.0001,1.550819755,1.689366817,50,0.011835823,0.012930349,47.59,cnn_test_L2_1e-4_200epochs,200,128,FALSE,0.01
