epochs,steps,Lambda_L2s,train_bareloss,train_loss,train_acc,test_bareloss,test_loss,test_acc,id,num_epochs,batch_size,batch_norm,learning_rate
0,5,0,2.1809604167938232,2.1809604167938232,19.53125,0.01750801453590393,0.01750801453590393,23.62,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,10,0,2.077591896057129,2.077591896057129,30.46875,0.016730732917785644,0.016730732917785644,24.52,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,15,0,2.0263869762420654,2.0263869762420654,26.5625,0.01625244983434677,0.01625244983434677,25.4,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,20,0,1.813728928565979,1.813728928565979,42.1875,0.015385399401187896,0.015385399401187896,29.0,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,25,0,1.8838599920272827,1.8838599920272827,37.5,0.015042466390132904,0.015042466390132904,33.2,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,30,0,1.8451687097549438,1.8451687097549438,33.59375,0.01426184754371643,0.01426184754371643,39.44,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,35,0,1.7971210479736328,1.7971210479736328,41.40625,0.013939745914936066,0.013939745914936066,39.04,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,40,0,1.704671859741211,1.704671859741211,39.0625,0.013782588291168213,0.013782588291168213,37.09,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,45,0,1.6195977926254272,1.6195977926254272,46.875,0.013575425577163696,0.013575425577163696,38.95,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,50,0,1.8038270473480225,1.8038270473480225,35.9375,0.014005313277244568,0.014005313277244568,33.93,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,55,0,1.7109434604644775,1.7109434604644775,39.0625,0.013286930954456329,0.013286930954456329,40.16,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,60,0,1.6677297353744507,1.6677297353744507,40.625,0.01290062462091446,0.01290062462091446,42.35,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,65,0,1.67031991481781,1.67031991481781,37.5,0.013692718195915223,0.013692718195915223,35.89,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,70,0,1.6604313850402832,1.6604313850402832,37.5,0.013050155079364776,0.013050155079364776,39.79,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,75,0,1.7044987678527832,1.7044987678527832,37.5,0.01265134233236313,0.01265134233236313,43.4,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,80,0,1.6801656484603882,1.6801656484603882,40.625,0.01270564388036728,0.01270564388036728,42.66,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,85,0,1.6720701456069946,1.6720701456069946,34.375,0.012434698283672333,0.012434698283672333,44.33,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,90,0,1.4296140670776367,1.4296140670776367,49.21875,0.012550326836109162,0.012550326836109162,43.11,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,95,0,1.6796714067459106,1.6796714067459106,41.40625,0.012726074695587158,0.012726074695587158,42.54,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,100,0,1.562596082687378,1.562596082687378,39.0625,0.012116690897941589,0.012116690897941589,46.04,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,105,0,1.4929530620574951,1.4929530620574951,43.75,0.012224391901493072,0.012224391901493072,45.34,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,110,0,1.5297877788543701,1.5297877788543701,45.3125,0.011768584454059601,0.011768584454059601,47.82,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,115,0,1.5222936868667603,1.5222936868667603,43.75,0.011715103447437286,0.011715103447437286,47.61,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,120,0,1.5967904329299927,1.5967904329299927,38.28125,0.011852355670928955,0.011852355670928955,47.16,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,125,0,1.6687424182891846,1.6687424182891846,33.59375,0.011942566227912902,0.011942566227912902,45.08,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,130,0,1.508850336074829,1.508850336074829,50.0,0.011655676591396331,0.011655676591396331,48.37,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,135,0,1.4425263404846191,1.4425263404846191,48.4375,0.01206157101392746,0.01206157101392746,46.33,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,140,0,1.425342321395874,1.425342321395874,55.46875,0.011506084156036376,0.011506084156036376,47.47,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,145,0,1.602678656578064,1.602678656578064,42.96875,0.011947674608230591,0.011947674608230591,45.28,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,150,0,1.4038748741149902,1.4038748741149902,55.46875,0.011661327278614044,0.011661327278614044,46.4,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,155,0,1.542201042175293,1.542201042175293,46.09375,0.011246503698825835,0.011246503698825835,49.1,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,160,0,1.4520280361175537,1.4520280361175537,45.3125,0.01118524215221405,0.01118524215221405,50.09,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,165,0,1.3550578355789185,1.3550578355789185,52.34375,0.01125590921640396,0.01125590921640396,49.3,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,170,0,1.3635841608047485,1.3635841608047485,47.65625,0.011188396275043488,0.011188396275043488,49.05,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,175,0,1.6517553329467773,1.6517553329467773,44.53125,0.011639173996448517,0.011639173996448517,46.49,cnn_test_nol2_bn_200epochs,200,128,True,0.01
0,180,0,1.4278367757797241,1.4278367757797241,42.1875,0.011180669569969177,0.011180669569969177,49.92,cnn_test_nol2_bn_200epochs,200,128,True,0.01
